ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 0;measure;kernel.c:9-12;kernel;Single;55.64;1.00;1.50;6.00;1.00;1;0.00;16.67;3.00;3.00;2.00;0.50;3.00
Loop 1;measure;kernel.c:14-15;kernel;Single;37.59;1.00;1.00;1.00;1.00;1;100.00;75.00;10.00 - 13.00;10.00 - 13.00;10.00 - 13.00;10.00 - 13.00;10.00 - 13.00
Loop 4;measure;kernel.c:23-24;init_array;Single;3.73;2.00;2.00;8.00;2.00;1;0.00;12.50;2.00;1.00;1.00;0.25;1.00
