ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 4;measure;;kernel;Single;62.04;1.00;4.00;4.00;1.00;1;20.00;25.00;4.50;4.50;1.13;1.13;4.50
Loop 3;measure;;kernel;Single;37.59;1.00;2.25;6.67;1.00;1;14.29;21.43;3.00;3.00;1.33;0.45;3.00
