ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 4;measure;kernel.c:14-15;kernel;Single;51.3;1.00;2.00;2.00;1.00;1;20.00;25.00;4.00 - 5.00;4.00 - 5.00;2.00 - 2.50;2.00 - 2.50;4.00 - 5.00
Loop 3;measure;kernel.c:9-12;kernel;Single;42.75;1.00;1.00;4.80;1.00;1;14.29;21.43;3.00;3.00;3.00;0.63;3.00
