function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
17536;cc1;warn_deprecated_use(tree_node*, tree_node*);;25;0;;;;;;;"0,0,0,0,0,0,0,0,0,100";_Z19warn_deprecated_useP9tree_nodeS0_;
14704;cc1;constrain_operands(int, unsigned long);;25;0;;;;;;;"0,0,0,0,0,0,0,0,0,100";_Z18constrain_operandsim;
13764;cc1;rtx_cost(rtx_def*, machine_mode, rtx_code, int, bool);;25;0;;;;;;;"0,0,0,0,0,0,0,0,0,100";_Z8rtx_costP7rtx_def12machine_mode8rtx_codeib;
13005;cc1;streamer_alloc_tree(lto_input_block*, data_in*, LTO_tags);;25;0;;;;;;;"0,0,0,0,0,0,0,0,0,100";_Z19streamer_alloc_treeP15lto_input_blockP7data_in8LTO_tags;
